_id,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
6051b379ed43600644644d5e,9.4,0.076,0,0.9978,7.4,11,3.51,5,1.9,0.56,34,0.7
6051b379ed43600644644d5f,9.8,0.098,0,0.9968,7.8,25,3.2,5,2.6,0.68,67,0.88
6051b379ed43600644644d60,9.8,0.092,0.04,0.997,7.8,15,3.26,5,2.3,0.65,54,0.76
6051b379ed43600644644d61,9.8,0.075,0.56,0.998,11.2,17,3.16,6,1.9,0.58,60,0.28
6051b379ed43600644644d62,9.4,0.076,0,0.9978,7.4,11,3.51,5,1.9,0.56,34,0.7
6051b379ed43600644644d63,9.4,0.075,0,0.9978,7.4,13,3.51,5,1.8,0.56,40,0.66
6051b379ed43600644644d64,9.4,0.069,0.06,0.9964,7.9,15,3.3,5,1.6,0.46,59,0.6
6051b379ed43600644644d65,10,0.065,0,0.9946,7.3,15,3.39,7,1.2,0.47,21,0.65
6051b379ed43600644644d66,9.5,0.073,0.02,0.9968,7.8,9,3.36,7,2,0.57,18,0.58
6051b379ed43600644644d67,10.5,0.071,0.36,0.9978,7.5,17,3.35,5,6.1,0.8,102,0.5
6051b379ed43600644644d68,9.2,0.097,0.08,0.9959,6.7,15,3.28,5,1.8,0.54,65,0.58
6051b379ed43600644644d69,10.5,0.071,0.36,0.9978,7.5,17,3.35,5,6.1,0.8,102,0.5
6051b379ed43600644644d6a,9.9,0.089,0,0.9943,5.6,16,3.58,5,1.6,0.52,59,0.615
6051b379ed43600644644d6b,9.1,0.114,0.29,0.9974,7.8,9,3.26,5,1.6,1.56,29,0.61
6051b379ed43600644644d6c,9.2,0.176,0.18,0.9986,8.9,52,3.16,5,3.8,0.88,145,0.62
6051b379ed43600644644d6d,9.2,0.17,0.19,0.9986,8.9,51,3.17,5,3.9,0.93,148,0.62
6051b379ed43600644644d6e,10.5,0.092,0.56,0.9969,8.5,35,3.3,7,1.8,0.75,103,0.28
6051b379ed43600644644d6f,9.3,0.368,0.28,0.9968,8.1,16,3.11,5,1.7,1.28,56,0.56
6051b379ed43600644644d70,9,0.086,0.08,0.9974,7.4,6,3.38,4,4.4,0.5,29,0.59
6051b379ed43600644644d71,9.2,0.341,0.51,0.9969,7.9,17,3.04,6,1.8,1.08,56,0.32
6051b379ed43600644644d72,9.4,0.077,0.48,0.9968,8.9,29,3.39,6,1.8,0.53,60,0.22
6051b379ed43600644644d73,9.7,0.082,0.31,0.9982,7.6,23,3.52,5,2.3,0.65,71,0.39
6051b379ed43600644644d74,9.5,0.106,0.21,0.9966,7.9,10,3.17,5,1.6,0.91,37,0.43
6051b379ed43600644644d75,9.4,0.084,0.11,0.9968,8.5,9,3.17,5,2.3,0.53,67,0.49
6051b379ed43600644644d76,9.7,0.085,0.14,0.9968,6.9,21,3.43,6,2.4,0.63,40,0.4
6051b379ed43600644644d77,9.3,0.08,0.16,0.9955,6.3,11,3.34,5,1.4,0.56,23,0.39
6051b379ed43600644644d78,9.5,0.08,0.24,0.9962,7.6,4,3.28,5,1.8,0.59,11,0.41
6051b379ed43600644644d79,9.5,0.106,0.21,0.9966,7.9,10,3.17,5,1.6,0.91,37,0.43
6051b379ed43600644644d7a,9.4,0.08,0,0.9972,7.1,14,3.47,5,1.9,0.55,35,0.71
6051b379ed43600644644d7b,9.8,0.082,0,0.9964,7.8,8,3.38,6,2,0.59,16,0.645
6051b379ed43600644644d7c,10.1,0.089,0.07,0.9958,6.7,17,3.35,5,2.4,0.54,82,0.675
6051b379ed43600644644d7d,10.6,0.105,0,0.9966,6.9,22,3.46,6,2.5,0.57,37,0.685
6051b379ed43600644644d7e,9.8,0.083,0.12,0.9966,8.3,15,3.17,5,2.3,0.66,113,0.655
6051b379ed43600644644d7f,9.4,0.073,0.12,0.9993,6.9,40,3.45,6,10.7,0.52,83,0.605
6051b379ed43600644644d80,9.2,0.103,0.25,0.9957,5.2,13,3.38,5,1.8,0.55,50,0.32
6051b379ed43600644644d81,9.6,0.086,0,0.9986,7.8,5,3.4,6,5.5,0.55,18,0.645
6051b379ed43600644644d82,10.8,0.086,0.14,0.9975,7.8,3,3.42,6,2.4,0.6,15,0.6
6051b379ed43600644644d83,9.7,0.066,0.28,0.9968,8.1,13,3.23,7,2.1,0.73,30,0.38
6051b379ed43600644644d84,9.8,0.172,0.09,0.994,5.7,7,3.5,4,1.5,0.48,19,1.13
6051b379ed43600644644d85,10.5,0.074,0.36,0.9978,7.3,12,3.33,5,5.9,0.83,87,0.45
6051b379ed43600644644d86,10.5,0.074,0.36,0.9978,7.3,12,3.33,5,5.9,0.83,87,0.45
6051b379ed43600644644d87,9.3,0.088,0.3,0.9976,8.8,17,3.26,4,2.8,0.51,46,0.61
6051b379ed43600644644d88,10.5,0.332,0.2,0.9968,7.5,8,3.21,6,2.6,0.9,14,0.49
6051b379ed43600644644d89,10.3,0.069,0.22,0.9968,8.1,9,3.3,5,2.2,1.2,23,0.66
6051b379ed43600644644d8a,9.5,0.05,0.02,0.9962,6.8,5,3.48,5,1.8,0.52,11,0.67
6051b379ed43600644644d8b,13.1,0.054,0.15,0.9934,4.6,8,3.9,4,2.1,0.56,65,0.52
6051b379ed43600644644d8c,9.2,0.114,0.43,0.997,7.7,22,3.25,5,2.2,0.73,114,0.935
6051b379ed43600644644d8d,9.5,0.113,0.52,0.9969,8.7,12,3.25,5,1.6,0.58,37,0.29
6051b379ed43600644644d8e,9.2,0.066,0.23,0.9958,6.4,5,3.34,5,1.6,0.56,12,0.4
6051b379ed43600644644d8f,9.2,0.074,0.37,0.9954,5.6,12,3.32,5,1.4,0.58,96,0.31
6051b379ed43600644644d90,9.2,0.074,0.26,0.9971,8.8,4,3.15,5,1.7,0.74,23,0.66
6051b379ed43600644644d91,9.4,0.069,0.04,0.9956,6.6,8,3.4,6,2.2,0.63,15,0.52
6051b379ed43600644644d92,9.4,0.068,0.04,0.9955,6.6,6,3.39,6,2.1,0.64,14,0.5
6051b379ed43600644644d93,9.4,0.081,0.36,0.997,8.6,30,3.2,5,3,0.56,119,0.38
6051b379ed43600644644d94,10.2,0.11,0.15,0.9955,7.6,33,3.17,6,2.8,0.63,73,0.51
6051b379ed43600644644d95,9.5,0.084,0.04,0.9978,7.7,25,3.34,5,3.8,0.53,45,0.62
6051b379ed43600644644d96,9.6,0.07,0.57,0.9971,10.2,4,3.04,5,3.4,0.63,10,0.42
6051b379ed43600644644d97,9.4,0.111,0.12,0.9983,7.5,50,3.26,5,5.1,0.77,110,0.63
6051b379ed43600644644d98,10,0.076,0.18,0.9975,7.8,17,3.43,5,2.3,0.59,54,0.59
6051b379ed43600644644d99,9.4,0.074,0.31,0.9962,7.3,9,3.41,6,2.4,0.54,46,0.39
6051b379ed43600644644d9a,9.2,0.079,0.4,0.998,8.8,19,3.44,5,2.2,0.64,52,0.4
6051b379ed43600644644d9b,9.3,0.115,0.49,0.9968,7.7,20,3.21,5,1.8,0.71,112,0.69
6051b379ed43600644644d9c,9.5,0.085,0.16,0.9968,7.5,12,3.38,7,1.9,0.62,35,0.52
6051b379ed43600644644d9d,9.8,0.081,0.05,0.9966,7,13,3.39,5,2,0.57,54,0.735
6051b379ed43600644644d9e,10.9,0.086,0.05,0.9962,7.2,4,3.41,5,4.65,0.39,11,0.725
6051b379ed43600644644d9f,10.9,0.086,0.05,0.9962,7.2,4,3.41,5,4.65,0.39,11,0.725
6051b379ed43600644644da0,9.6,0.079,0.11,0.9968,7.5,11,3.42,5,1.5,0.58,39,0.52
6051b379ed43600644644da1,10.7,0.076,0.07,0.9962,6.6,6,3.44,5,1.6,0.58,15,0.705
6051b379ed43600644644da2,10.7,0.074,0.57,0.9969,9.3,27,3.28,5,2,0.79,65,0.32
6051b379ed43600644644da3,10.5,0.074,0.05,0.9962,8,8,3.34,6,1.9,0.95,19,0.705
6051b379ed43600644644da4,9.5,0.076,0.08,0.9967,7.7,15,3.32,6,1.9,0.54,27,0.63
6051b379ed43600644644da5,9.5,0.088,0.23,0.9962,7.7,17,3.32,5,2.1,0.48,96,0.67
6051b379ed43600644644da6,9.5,0.084,0.22,0.9961,7.7,18,3.31,5,1.9,0.48,94,0.69
6051b379ed43600644644da7,9.2,0.084,0.26,0.9976,8.3,11,3.31,4,2.1,0.53,43,0.675
6051b379ed43600644644da8,9.6,0.094,0.54,0.9984,9.7,28,3.28,5,2.5,0.82,83,0.32
6051b379ed43600644644da9,10.5,0.093,0.64,0.9986,8.8,9,3.54,5,2.2,0.66,42,0.41
6051b379ed43600644644daa,10.5,0.093,0.64,0.9986,8.8,9,3.54,5,2.2,0.66,42,0.41
6051b379ed43600644644dab,10.7,0.104,0,0.9966,6.8,14,3.52,6,2.4,0.55,30,0.785
6051b379ed43600644644dac,10.1,0.086,0.12,0.9958,6.7,12,3.38,5,2,0.52,80,0.75
6051b379ed43600644644dad,9.1,0.08,0.2,0.9972,8.3,27,3.16,4,1.5,1.12,119,0.625
6051b379ed43600644644dae,9.2,0.069,0.2,0.9958,6.2,3,3.41,5,1.6,0.56,15,0.45
6051b379ed43600644644daf,9.4,0.464,0.7,0.9974,7.8,22,3.13,5,1.9,1.28,67,0.43
6051b379ed43600644644db0,9.1,0.086,0.47,0.997,7.4,21,3.36,5,2,0.57,73,0.5
