_id,alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,quality,residual sugar,sulphates,total sulfur dioxide,volatile acidity
6051b444ed4360064464539d,8.8,0.045,0.36,1.001,7,45,3,6,20.7,0.45,170,0.27
6051b444ed4360064464539e,9.5,0.049,0.34,0.994,6.3,14,3.3,6,1.6,0.49,132,0.3
6051b444ed4360064464539f,10.1,0.05,0.4,0.9951,8.1,30,3.26,6,6.9,0.44,97,0.28
6051b444ed436006446453a0,9.9,0.058,0.32,0.9956,7.2,47,3.19,6,8.5,0.4,186,0.23
6051b444ed436006446453a1,9.9,0.058,0.32,0.9956,7.2,47,3.19,6,8.5,0.4,186,0.23
6051b444ed436006446453a2,10.1,0.05,0.4,0.9951,8.1,30,3.26,6,6.9,0.44,97,0.28
6051b444ed436006446453a3,9.6,0.045,0.16,0.9949,6.2,30,3.18,6,7,0.47,136,0.32
6051b444ed436006446453a4,8.8,0.045,0.36,1.001,7,45,3,6,20.7,0.45,170,0.27
6051b444ed436006446453a5,9.5,0.049,0.34,0.994,6.3,14,3.3,6,1.6,0.49,132,0.3
6051b444ed436006446453a6,11,0.044,0.43,0.9938,8.1,28,3.22,6,1.5,0.45,129,0.22
6051b444ed436006446453a7,12,0.033,0.41,0.9908,8.1,11,2.99,5,1.45,0.56,63,0.27
6051b444ed436006446453a8,9.7,0.035,0.4,0.9947,8.6,17,3.14,5,4.2,0.53,109,0.23
6051b444ed436006446453a9,10.8,0.04,0.37,0.992,7.9,16,3.18,5,1.2,0.63,75,0.18
6051b444ed436006446453aa,12.4,0.044,0.4,0.9912,6.6,48,3.54,7,1.5,0.52,143,0.16
6051b444ed436006446453ab,9.7,0.04,0.62,1.0002,8.3,41,2.98,5,19.25,0.67,172,0.42
6051b444ed436006446453ac,11.4,0.032,0.38,0.9914,6.6,28,3.25,7,1.5,0.55,112,0.17
6051b444ed436006446453ad,9.6,0.046,0.04,0.9928,6.3,30,3.24,6,1.1,0.36,99,0.48
6051b444ed436006446453ae,12.8,0.029,0.48,0.9892,6.2,29,3.33,8,1.2,0.39,75,0.66
6051b444ed436006446453af,11.3,0.033,0.42,0.9917,7.4,17,3.12,6,1.1,0.53,171,0.34
6051b444ed436006446453b0,9.5,0.044,0.14,0.9955,6.5,34,3.22,5,7.5,0.5,133,0.31
6051b444ed436006446453b1,12.8,0.029,0.48,0.9892,6.2,29,3.33,8,1.2,0.39,75,0.66
6051b444ed436006446453b2,11,0.038,0.38,0.9912,6.4,19,3.17,7,2.9,0.35,102,0.31
6051b444ed436006446453b3,10.5,0.049,0.42,0.993,6.8,41,3.47,8,1.7,0.48,122,0.26
6051b444ed436006446453b4,9.3,0.074,0.14,0.9937,7.6,25,3.05,5,1.5,0.51,168,0.67
6051b444ed436006446453b5,10,0.052,0.41,0.9951,6.6,16,3.42,6,1.3,0.47,142,0.27
6051b444ed436006446453b6,10.4,0.046,0.32,0.9955,7,56,3.25,6,9,0.5,245,0.25
6051b444ed436006446453b7,10,0.052,0.35,0.993,6.9,35,3.45,6,1,0.44,146,0.24
6051b444ed436006446453b8,10.5,0.051,0.39,0.9961,7,32,3.38,6,8.7,0.53,141,0.28
6051b444ed436006446453b9,11.6,0.047,0.48,0.9914,7.4,17,3.19,6,1.1,0.49,132,0.27
6051b444ed436006446453ba,12.3,0.033,0.36,0.9906,7.2,37,3.1,7,2,0.71,114,0.32
6051b444ed436006446453bb,10,0.044,0.39,0.9974,8.5,20,3.2,6,10.4,0.53,142,0.24
6051b444ed436006446453bc,10.2,0.042,0.34,0.9934,8.3,7,3.47,6,1.1,0.4,47,0.14
6051b444ed436006446453bd,10.8,0.05,0.36,0.992,7.4,31,3.19,6,2.05,0.44,100,0.25
6051b444ed436006446453be,9,0.045,0.34,0.9939,6.2,43,3.42,6,1.5,0.51,117,0.12
6051b444ed436006446453bf,10.2,0.044,0.2,0.9962,5.8,22,3.37,5,14.95,0.37,179,0.27
6051b444ed436006446453c0,12.8,0.08,0.43,0.9905,7.3,21,3.19,5,1.7,0.42,123,0.28
6051b444ed436006446453c1,10,0.051,0.23,0.9934,6.5,25,3.24,5,5.4,0.35,149,0.39
6051b444ed436006446453c2,11.2,0.053,0.32,0.9906,7,38,3.13,6,1.2,0.28,138,0.33
6051b444ed436006446453c3,8.6,0.057,0.39,0.9999,7.3,45,3.21,5,17.95,0.36,149,0.24
6051b444ed436006446453c4,8.6,0.057,0.39,0.9999,7.3,45,3.21,5,17.95,0.36,149,0.24
6051b444ed436006446453c5,9.4,0.172,0.39,0.9937,6.7,63,3.11,6,2.5,0.36,158,0.23
6051b444ed436006446453c6,9.4,0.173,0.39,0.9937,6.7,63,3.1,6,2.9,0.34,157,0.24
6051b444ed436006446453c7,9.8,0.069,0.26,0.9954,7,28,3.13,6,7.4,0.46,160,0.31
6051b444ed436006446453c8,9.5,0.057,0.27,0.9934,6.6,33,3.22,6,1.4,0.56,152,0.24
6051b444ed436006446453c9,9.5,0.06,0.26,0.9934,6.7,33,3.24,6,1.4,0.56,154,0.23
6051b444ed436006446453ca,10,0.058,0.31,0.9931,7.4,38,3.16,7,1.4,0.53,167,0.18
6051b444ed436006446453cb,9.8,0.063,0.26,0.994,6.2,63,3.27,4,4.4,0.52,206,0.45
6051b444ed436006446453cc,9.8,0.066,0.25,0.9939,6.2,62,3.25,5,4.4,0.52,207,0.46
6051b444ed436006446453cd,9.8,0.069,0.26,0.9954,7,28,3.13,6,7.4,0.46,160,0.31
6051b444ed436006446453ce,9.8,0.067,0.35,0.995,6.9,32,3.36,5,5,0.48,150,0.19
6051b444ed436006446453cf,11.7,0.062,0.31,0.9917,7.2,31,3.35,6,1.6,0.44,173,0.19
6051b444ed436006446453d0,11,0.068,0.29,0.9914,6.6,39,3.34,7,1.1,0.58,124,0.25
6051b444ed436006446453d1,10.9,0.057,0.33,0.991,6.2,21,3.32,7,1.1,0.46,82,0.16
